FIPS,y,BreachesPer100K,CensusMean,OpProfitMargin,CapitalExp,OpIncome,AR,BadDebt,BedUtil,OutpatientVisits,ALOS,Pop2020,PopDensity,Native,Hispanic,Black,Asian,Prop65,UE2019,Poverty,AcuteBeds,CMI,PedTrauma,MedCenter
21049,0,0,31.9,0.115,5882683,13051728,14245305,14444459,0.591,61857,3.3,36263,55.45345523,0.001,0.029,0.046,0.005515263,0.182,3.9,16,54,1.32,0,0
21051,0,0,19,-0.076,44932946,-5235440,6778410,544493,0.387,48745,4.7,19901,16.37305843,0.003,0.027,0.03,0,0.156,7,38.2,49,1.35,0,0
21059,0,0,172.3,0.137,31868225,81090999,85303916,26373515,0.571,232661,4.4,101511,85.5025457,0.002,0.03,0.042,0.014441785,0.173,3.9,15.3,427,1.78,0,0
21067,1,0.309451899,418.85,-0.047666667,77853648.83,-84140550.67,272406632.2,31145181.17,0.620666667,296538.5,6.333333333,323152,439.8924076,0.001,0.072,0.142,0.035902609,0.139,3.3,14.6,1707,2.065,0,1
21073,0,0,71.7,0.283,1778274,33338396,22580395,5682941,0.64,32827,4.5,50991,94.72499517,0.001,0.032,0.095,0.0180424,0.184,3.7,12.9,115,1.52,0,0
21083,0,0,47.3,0.002,4076274,144227,9293232,6718717,0.498,38471,5.5,37266,26.07759129,0.001,0.064,0.042,0.004508131,0.188,4.6,16.9,95,1.37,0,0
21093,0,0,140.2,-0.002,3323379,-618366,289243510,7446365,0.519,255915,4.9,110958,68.7229512,0.002,0.057,0.112,0.020557328,0.144,4.1,13.4,270,1.63,0,0
21095,0,0,30.5,0.024,1367160,1904472,38318487,3366598,0.376,35457,4,26010,21.55829601,0.001,0.009,0.025,0.004229143,0.192,9.6,33.4,81,1.15,0,0
21107,0,0,84.4,-0.106,22131890,-21561221,149419647,4986618,0.524,112195,5.6,44686,31.82890481,0.004,0.02,0.064,0.006489728,0.19,4.6,18.1,144,1.7,0,0
21111,4,0.521677663,997.5571429,0.000857143,76889667.29,4682232.143,1912481715,65649091.29,0.65,590776,7.228571429,766757,777.6671853,0.002,0.052,0.212,0.027804115,0.167,4,15.4,2963,1.963,0,1
21117,0,0,455.45,-0.1615,250474545.5,-152796178.5,191688799,30101114.5,0.6815,537740.5,4.8,166998,402.2827706,0.001,0.031,0.044,0.012179787,0.149,3.6,10.4,459,1.69,0,0
21125,0,0,75,0.033,369970,5539521,55968508,7037304,0.615,61772,5,60813,54.10302852,0.004,0.015,0.009,0.001858155,0.167,4.9,20.6,106,1.66,0,0
21133,0,0,34,0.1,775955,6198584,30833408,2951659,0.378,44641,4.1,21553,24.62537029,0.002,0.008,0.004,0.002644643,0.199,7.4,31.1,90,1.26,0,0
21145,0,0,99.25,0.068,14938827.5,19475767,202328775.5,12520236.5,0.406,151781.5,4.05,65418,101.5422014,0.003,0.024,0.109,0.007368003,0.203,4.9,14.7,536,1.72,0,0
21151,0,0,35.5,-0.059,1468495,-6884666,107155296,4001722,0.592,55224,3.8,92987,82.0910795,0.004,0.024,0.043,0.009657264,0.142,3.9,16.5,85,1.575,0,0
21155,0,0,8.9,0.11,736166,4903652,4932019,4370508,0.141,33180,3.6,19273,21.69250131,0.001,0.027,0.074,0.002334873,0.169,3.9,17.1,63,1.26,0,0
21161,0,0,14.8,0.022,556634,1422453,8042587,5252895,0.148,37700,2.9,17070,27.44708057,0,0.018,0.054,0.008728764,0.187,5.8,18.2,100,1.63,0,0
21173,0,0,19.4,-0.05,617643,-2821361,36022071,267875,0.463,27801,4.7,28157,55.08747236,0.003,0.027,0.029,0.000532727,0.163,5.3,15.3,42,1.44,0,0
21179,0,0,16.3,0.026,3147624,1986298,25922659,3895824,0.406,34995,3.6,46233,42.75469357,0.001,0.021,0.049,0.005948132,0.161,4.5,12.2,40,1.63,0,0
21185,0,0,14.8,0.04,8344620,7527817,237347511,3462684,0.352,132940,4.4,66799,137.744808,0.002,0.039,0.036,0.014596027,0.137,3.3,5.6,90,1.64,0,0
21193,0,0,137.9,0.053,16377657,12867049,143095704,13803081,0.599,104618,6.7,25758,29.27684798,0.001,0.01,0.011,0.012539793,0.174,6.1,28.9,229,1.6,0,0
21195,0,0,95.05,-0.136,17677974,-30193483.5,208685398.5,17274156.5,0.3935,134934.5,4.95,57876,28.40370046,0.001,0.009,0.009,0.005563619,0.194,5.8,23.8,386,1.54,0,0
21199,0,0,97.4,0.116,20833750,28386472,31078183,13539381,0.518,87583,4.9,64979,38.1046996,0.003,0.025,0.01,0.007648625,0.19,4.7,19.5,230,1.65,0,0
21205,0,0,43.5,-0.049,13859774,-7674587,98268199,7962433,0.506,111108,3.9,24460,33.74864001,0.002,0.017,0.018,0.007154538,0.145,5.3,22.7,90,1.45,0,0
21209,0,0,14.3,0.085,5868889,7584776,9541207,6993606,0.19,35330,3.2,57004,78.11247719,0.001,0.044,0.048,0.009806329,0.124,3.5,8.3,75,1.41,0,0
21217,1,3.880631767,20.2,-0.079,3010216,-6385964,40409569,4977913,0.225,67298,4.1,25769,37.35228275,0,0.024,0.039,0.010594125,0.183,4.3,19.2,90,1.33,0,0
21227,1,0.752468095,134.6,0.1405,4941003.5,24254484.5,46556210.5,10251962,0.597,54763,5,132896,94.71883293,0.003,0.053,0.089,0.036268962,0.131,3.9,16.5,470,1.7,0,0
21235,0,0,110.1,0.059,10599425,14053428,189292692,6472993,0.625,148673,4.9,36264,31.9795003,0.002,0.012,0.01,0.003033311,0.16,5.2,25.7,248,1.58,0,0
